s;w
2624;179
2625;179
2626;182
2627;192
2628;192
2629;184
2630;178
2631;178
2632;178
2633;173
2634;186
2635;177
2636;168
2637;176
2638;178
2639;177
2640;165
2641;159
2642;188
2643;148
2644;173
2645;153
2646;170
2647;198
2648;226
2649;232
2650;148
2651;160
2652;186
2653;239
2654;164
2655;181
2656;165
2657;157
2658;179
2659;187
2660;170
2661;195
2662;168
2663;172
2664;202
2665;155
2666;164
2667;211
2668;174
2669;167
2670;173
2671;152
2672;154
2673;112
2674;174
2675;147
2676;139
2677;168
2678;157
2679;102
2680;157
2681;166
2682;168
2683;107
2684;144
2685;139
2686;121
2687;123
2688;181
2689;134
2690;122
2691;122
2692;104
2693;165
2694;123
2695;69
2696;73
2697;52
2698;65
2699;40
2700;54
2701;36
2702;37
2703;29
2704;46
2705;31
2706;44
2707;22
2708;42
2709;83
2710;42
2711;50
2712;32
2713;2
2714;0
2715;0
2716;0
2717;0
2718;0
2719;0
2720;0
2721;0
2722;0
2723;0
2724;0
2725;0
2726;2
2727;3
2728;3
2729;4
2730;4
2731;4
2732;4
2733;4
2734;4
2735;5
2736;12
2737;26
2738;37
2739;102
2740;69
2741;42
2742;23
2743;37
2744;26
2745;51
2746;65
2747;66
2748;61
2749;74
2750;102
2751;137
2752;86
2753;46
2754;84
2755;179
2756;187
2757;152
2758;113
2759;144
2760;110
2761;166
2762;79
2763;116
2764;87
2765;103
2766;113
2767;91
2768;107
2769;90
2770;102
2771;89
2772;118
2773;80
2774;93
2775;107
2776;97
2777;105
2778;132
2779;119
2780;130
2781;130
2782;88
2783;137
2784;204
2785;238
2786;206
2787;166
2788;190
2789;177
2790;133
2791;101
2792;146
2793;138
2794;183
2795;231
2796;233
2797;186
2798;158
2799;186
2800;113
2801;122
2802;136
2803;130
2804;138
2805;153
2806;169
2807;138
2808;137
2809;148
2810;127
2811;127
2812;127
2813;98
2814;114
2815;144
2816;145
2817;116
2818;126
2819;130
2820;136
2821;127
2822;132
2823;182
2824;185
2825;197
2826;181
2827;157
2828;172
2829;188
2830;137
2831;118
2832;177
2833;156
2834;145
2835;168
2836;174
2837;222
2838;146
2839;189
2840;116
2841;199
2842;150
2843;143
2844;176
2845;143
2846;157
2847;138
2848;141
2849;148
2850;172
2851;131
2852;215
2853;215
2854;112
2855;182
2856;157
2857;145
2858;117
2859;187
2860;143
2861;140
2862;166
2863;134
2864;133
2865;189
2866;122
2867;128
2868;98
2869;142
2870;143
2871;146
2872;148
2873;131
2874;144
2875;146
2876;143
2877;145
2878;135
2879;142
2880;174
2881;136
2882;150
2883;160
2884;134
2885;134
2886;156
2887;128
2888;132
2889;123
2890;142
2891;117
2892;164
2893;114
2894;84
2895;174
2896;151
2897;168
2898;161
2899;120
2900;141
2901;141
2902;149
2903;136
2904;140
2905;168
2906;141
2907;151
2908;147
2909;137
2910;146
2911;153
2912;112
2913;155
2914;167
2915;145
2916;161
2917;150
2918;155
2919;155
2920;129
2921;119
2922;104
2923;145
2924;125
2925;139
2926;158
2927;158
2928;159
2929;214
2930;150
2931;131
2932;192
2933;92
2934;137
2935;151
2936;137
2937;165
2938;135
2939;138
2940;140
2941;135
2942;116
2943;174
2944;119
2945;154
2946;143
2947;204
2948;137
2949;158
2950;125
2951;125
2952;154
2953;154
2954;188
2955;128
2956;190
2957;175
2958;109
2959;142
2960;151
2961;159
2962;129
2963;120
2964;137
2965;149
2966;161
2967;145
2968;139
2969;130
2970;137
2971;153
2972;152
2973;157
2974;175
2975;163
2976;122
2977;134
2978;159
2979;145
2980;159
2981;135
2982;135
2983;180
2984;146
2985;134
2986;133
2987;106
2988;184
2989;108
2990;155
2991;149
2992;157
2993;179
2994;158
